,pipeline,accuracy
112,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=4, min_samples_leaf=4,
                                        min_samples_split=7, n_estimators=512,
                                        warm_start=True))])",0.765
96,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=5, min_samples_leaf=3,
                                        min_samples_split=3, n_estimators=512,
                                        warm_start=True))])",0.765
92,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=6, min_samples_split=3,
                                        n_estimators=512, warm_start=True))])",0.7638
82,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=4, min_samples_leaf=6,
                                        min_samples_split=14, n_estimators=512,
                                        warm_start=True))])",0.7638
95,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=17, min_samples_leaf=9,
                                        min_samples_split=4, n_estimators=512,
                                        warm_start=True))])",0.7638
78,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=5, min_samples_leaf=8,
                                        min_samples_split=16, n_estimators=512,
                                        warm_start=True))])",0.7637
66,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=4, min_samples_leaf=5,
                                        min_samples_split=6, n_estimators=512,
                                        warm_start=True))])",0.7637
120,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=8, min_samples_leaf=15,
                                        min_samples_split=14, n_estimators=512,
                                        warm_start=True))])",0.7625
108,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=14, min_samples_leaf=7,
                                        min_samples_split=14, n_estimators=512,
                                        warm_start=True))])",0.7613
47,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=5, min_samples_leaf=5,
                                        min_samples_split=10, n_estimators=512,
                                        warm_start=True))])",0.7612
122,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=8, min_samples_leaf=10,
                                        min_samples_split=5, n_estimators=512,
                                        warm_start=True))])",0.7612
110,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=3, min_samples_leaf=4,
                                        min_samples_split=11, n_estimators=512,
                                        warm_start=True))])",0.7612
57,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=13, min_samples_leaf=20,
                                        min_samples_split=8, n_estimators=512,
                                        warm_start=True))])",0.76
109,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=8, min_samples_leaf=12,
                                        min_samples_split=7, n_estimators=512,
                                        warm_start=True))])",0.76
119,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=10, min_samples_leaf=18,
                                        min_samples_split=10, n_estimators=512,
                                        warm_start=True))])",0.76
131,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=5, min_samples_leaf=6,
                                        min_samples_split=3, n_estimators=512,
                                        warm_start=True))])",0.76
118,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=10, min_samples_leaf=12,
                                        min_samples_split=20, n_estimators=512,
                                        warm_start=True))])",0.7588
55,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=7, min_samples_leaf=13,
                                        min_samples_split=3, n_estimators=512,
                                        warm_start=True))])",0.7588
97,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=8, min_samples_leaf=13,
                                        min_samples_split=9, n_estimators=512,
                                        warm_start=True))])",0.7587
130,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=7, min_samples_leaf=6,
                                        min_samples_split=12, n_estimators=512,
                                        warm_start=True))])",0.7587
49,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=3, min_samples_leaf=6,
                                        min_samples_split=6, n_estimators=512,
                                        warm_start=True))])",0.7587
71,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=8, min_samples_leaf=7,
                                        min_samples_split=16, n_estimators=512,
                                        warm_start=True))])",0.7575
100,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=15, min_samples_leaf=19,
                                        min_samples_split=10, n_estimators=512,
                                        warm_start=True))])",0.7575
125,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=10, min_samples_leaf=13,
                                        min_samples_split=4, n_estimators=512,
                                        warm_start=True))])",0.7562
60,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=12, min_samples_leaf=20,
                                        min_samples_split=16, n_estimators=512,
                                        warm_start=True))])",0.7562
54,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=14, min_samples_leaf=14,
                                        min_samples_split=9, n_estimators=512,
                                        warm_start=True))])",0.7562
104,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=11, min_samples_leaf=7,
                                        min_samples_split=7, n_estimators=512,
                                        warm_start=True))])",0.755
29,"Pipeline(steps=[('feature-pre-processor', PolynomialFeatures()),
                ('learner', RandomForestClassifier())])",0.755
38,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=7, min_samples_leaf=12,
                                        min_samples_split=11, n_estimators=512,
                                        warm_start=True))])",0.755
127,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=6, min_samples_leaf=17,
                                        min_samples_split=4, n_estimators=512,
                                        warm_start=True))])",0.755
46,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=7, min_samples_leaf=19,
                                        min_samples_split=17, n_estimators=512,
                                        warm_start=True))])",0.7537
42,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=8, min_samples_leaf=13,
                                        min_samples_split=11, n_estimators=512,
                                        warm_start=True))])",0.7537
63,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=17, min_samples_leaf=20,
                                        min_samples_split=6, n_estimators=512,
                                        warm_start=True))])",0.7525
17,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('learner', RandomForestClassifier())])",0.7525
2,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",0.75
64,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=14, min_samples_leaf=19,
                                        min_samples_split=11, n_estimators=512,
                                        warm_start=True))])",0.75
85,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=17, min_samples_leaf=19,
                                        n_estimators=512, warm_start=True))])",0.75
115,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=7, min_samples_leaf=12,
                                        min_samples_split=17, n_estimators=512,
                                        warm_start=True))])",0.7488
77,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=3, min_samples_leaf=8,
                                        n_estimators=512, warm_start=True))])",0.7475
101,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=2, min_samples_leaf=4,
                                        min_samples_split=8, n_estimators=512,
                                        warm_start=True))])",0.7475
73,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=9, min_samples_leaf=17,
                                        min_samples_split=4, n_estimators=512,
                                        warm_start=True))])",0.7463
93,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=2, min_samples_split=16,
                                        n_estimators=512, warm_start=True))])",0.745
81,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=5, min_samples_leaf=15,
                                        min_samples_split=7, n_estimators=512,
                                        warm_start=True))])",0.7425
56,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=6, min_samples_leaf=17,
                                        min_samples_split=14, n_estimators=512,
                                        warm_start=True))])",0.7425
65,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=3, min_samples_leaf=6,
                                        min_samples_split=9, n_estimators=512,
                                        warm_start=True))])",0.7425
61,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=2, min_samples_leaf=7,
                                        min_samples_split=9, n_estimators=512,
                                        warm_start=True))])",0.74
117,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=5, min_samples_leaf=11,
                                        min_samples_split=16, n_estimators=512,
                                        warm_start=True))])",0.74
106,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=3, min_samples_leaf=7,
                                        min_samples_split=14, n_estimators=512,
                                        warm_start=True))])",0.74
84,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=4, min_samples_leaf=16,
                                        min_samples_split=20, n_estimators=512,
                                        warm_start=True))])",0.74
33,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=4, min_samples_leaf=19,
                                        min_samples_split=8, n_estimators=512,
                                        warm_start=True))])",0.7375
86,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=18, min_samples_leaf=11,
                                        min_samples_split=10, n_estimators=512,
                                        warm_start=True))])",0.7375
58,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=4, min_samples_leaf=20,
                                        min_samples_split=17, n_estimators=512,
                                        warm_start=True))])",0.7338
113,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=5, min_samples_leaf=19,
                                        min_samples_split=4, n_estimators=512,
                                        warm_start=True))])",0.7325
74,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=5, min_samples_leaf=17,
                                        min_samples_split=17, n_estimators=512,
                                        warm_start=True))])",0.7325
10,"Pipeline(steps=[('learner', SVC())])",0.7313
48,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=4, min_samples_leaf=12,
                                        min_samples_split=9, n_estimators=512,
                                        warm_start=True))])",0.7312
45,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=3, min_samples_leaf=16,
                                        min_samples_split=17, n_estimators=512,
                                        warm_start=True))])",0.7312
128,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=3,
                                        min_samples_split=9, n_estimators=512,
                                        warm_start=True))])",0.73
105,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=1, min_samples_leaf=2,
                                        min_samples_split=14, n_estimators=512,
                                        warm_start=True))])",0.73
3,"Pipeline(steps=[('learner', BernoulliNB())])",0.7288
111,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=4, min_samples_leaf=16,
                                        min_samples_split=14, n_estimators=512,
                                        warm_start=True))])",0.7275
126,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=3, min_samples_leaf=17,
                                        min_samples_split=17, n_estimators=512,
                                        warm_start=True))])",0.7275
51,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=2, min_samples_leaf=8,
                                        min_samples_split=13, n_estimators=512,
                                        warm_start=True))])",0.7262
52,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=1, min_samples_leaf=3,
                                        min_samples_split=5, n_estimators=512,
                                        warm_start=True))])",0.7262
30,"Pipeline(steps=[('feature-pre-processor', SelectPercentile()),
                ('learner', RandomForestClassifier())])",0.725
72,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=2,
                                        n_estimators=512, warm_start=True))])",0.725
36,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=3, min_samples_leaf=13,
                                        min_samples_split=3, n_estimators=512,
                                        warm_start=True))])",0.7238
37,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=3, min_samples_leaf=17,
                                        min_samples_split=16, n_estimators=512,
                                        warm_start=True))])",0.7238
13,"Pipeline(steps=[('learner', LogisticRegression())])",0.7238
23,"Pipeline(steps=[('feature-pre-processor', FastICA()),
                ('learner', RandomForestClassifier())])",0.7238
124,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=2, min_samples_leaf=8,
                                        min_samples_split=20, n_estimators=512,
                                        warm_start=True))])",0.7225
28,"Pipeline(steps=[('feature-pre-processor', PCA()),
                ('learner', RandomForestClassifier())])",0.7213
7,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",0.7213
94,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=3, min_samples_leaf=16,
                                        min_samples_split=19, n_estimators=512,
                                        warm_start=True))])",0.72
35,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=3, min_samples_leaf=17,
                                        min_samples_split=6, n_estimators=512,
                                        warm_start=True))])",0.7188
40,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=2,
                                        min_samples_split=18, n_estimators=512,
                                        warm_start=True))])",0.7175
6,"Pipeline(steps=[('learner', KNeighborsClassifier())])",0.7175
76,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=4, min_samples_leaf=20,
                                        min_samples_split=10, n_estimators=512,
                                        warm_start=True))])",0.7175
32,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=2, min_samples_leaf=12,
                                        min_samples_split=6, n_estimators=512,
                                        warm_start=True))])",0.7162
103,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=6,
                                        min_samples_split=7, n_estimators=512,
                                        warm_start=True))])",0.7162
83,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=1, min_samples_leaf=3,
                                        min_samples_split=11, n_estimators=512,
                                        warm_start=True))])",0.7162
62,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=1, min_samples_leaf=4,
                                        min_samples_split=15, n_estimators=512,
                                        warm_start=True))])",0.7162
91,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=2, min_samples_leaf=17,
                                        min_samples_split=11, n_estimators=512,
                                        warm_start=True))])",0.715
114,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=6,
                                        min_samples_split=8, n_estimators=512,
                                        warm_start=True))])",0.715
34,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=1, min_samples_leaf=5,
                                        min_samples_split=14, n_estimators=512,
                                        warm_start=True))])",0.7138
87,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=2, min_samples_leaf=14,
                                        min_samples_split=17, n_estimators=512,
                                        warm_start=True))])",0.7137
9,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",0.7125
99,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=2, min_samples_leaf=15,
                                        min_samples_split=7, n_estimators=512,
                                        warm_start=True))])",0.7125
123,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=2, min_samples_leaf=13,
                                        min_samples_split=9, n_estimators=512,
                                        warm_start=True))])",0.7113
88,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=2, min_samples_leaf=18,
                                        min_samples_split=7, n_estimators=512,
                                        warm_start=True))])",0.7113
39,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=9,
                                        min_samples_split=8, n_estimators=512,
                                        warm_start=True))])",0.7112
89,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=2, min_samples_leaf=20,
                                        min_samples_split=8, n_estimators=512,
                                        warm_start=True))])",0.71
11,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",0.7088
75,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=10,
                                        min_samples_split=9, n_estimators=512,
                                        warm_start=True))])",0.7088
8,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",0.7075
59,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=10,
                                        min_samples_split=13, n_estimators=512,
                                        warm_start=True))])",0.7075
70,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=7,
                                        min_samples_split=13, n_estimators=512,
                                        warm_start=True))])",0.705
53,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=1, min_samples_leaf=9,
                                        min_samples_split=8, n_estimators=512,
                                        warm_start=True))])",0.7012
44,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=1, min_samples_leaf=12,
                                        min_samples_split=11, n_estimators=512,
                                        warm_start=True))])",0.7012
50,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=16,
                                        min_samples_split=13, n_estimators=512,
                                        warm_start=True))])",0.7
67,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=17,
                                        min_samples_split=17, n_estimators=512,
                                        warm_start=True))])",0.7
79,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=1, min_samples_leaf=18,
                                        min_samples_split=15, n_estimators=512,
                                        warm_start=True))])",0.7
80,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=1, min_samples_leaf=15,
                                        min_samples_split=6, n_estimators=512,
                                        warm_start=True))])",0.7
121,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=1, min_samples_leaf=10,
                                        min_samples_split=20, n_estimators=512,
                                        warm_start=True))])",0.7
31,"Pipeline(steps=[('feature-pre-processor', GenericUnivariateSelect()),
                ('learner', RandomForestClassifier())])",0.6988
5,"Pipeline(steps=[('learner', GaussianNB())])",0.6975
12,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",0.6938
4,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",0.6775
24,"Pipeline(steps=[('feature-pre-processor', FeatureAgglomeration()),
                ('learner', RandomForestClassifier())])",0.6625
15,"Pipeline(steps=[('learner', MultinomialNB())])",
16,"Pipeline(steps=[('data-pre-processor', MinMaxScaler()),
                ('learner', RandomForestClassifier())])",
18,"Pipeline(steps=[('data-pre-processor', PowerTransformer()),
                ('learner', RandomForestClassifier())])",
19,"Pipeline(steps=[('data-pre-processor', QuantileTransformer()),
                ('learner', RandomForestClassifier())])",
20,"Pipeline(steps=[('data-pre-processor', RobustScaler()),
                ('learner', RandomForestClassifier())])",
21,"Pipeline(steps=[('data-pre-processor', StandardScaler()),
                ('learner', RandomForestClassifier())])",
25,"Pipeline(steps=[('feature-pre-processor', KernelPCA()),
                ('learner', RandomForestClassifier())])",
26,"Pipeline(steps=[('feature-pre-processor', RBFSampler()),
                ('learner', RandomForestClassifier())])",
27,"Pipeline(steps=[('feature-pre-processor', Nystroem()),
                ('learner', RandomForestClassifier())])",
